from	to
AKT1	GATA3
AKT1	JUN
AKT1	MAPK1
AKT1	RARA
AKT1	STAT1
AKT1	STAT3
AKT1	STAT5B
GATA3	AKT1
GATA3	IRF1
GATA3	JUN
GATA3	MAPK1
GATA3	RARA
IFNL1	GATA3
IFNL1	IRF1
IFNL1	STAT1
IFNL1	STAT3
IFNL1	STAT5B
IRF1	GATA3
IRF1	RARA
JUN	GATA3
JUN	MAPK1
JUN	RARA
JUN	STAT3
MAPK1	AKT1
MAPK1	GATA3
MAPK1	JUN
MAPK1	RARA
MAPK1	STAT1
MAPK1	STAT3
MAPK1	STAT5B
RARA	AKT1
RARA	GATA3
RARA	IRF1
RARA	JUN
RARA	STAT1
RARA	STAT3
STAT1	AKT1
STAT1	GATA3
STAT1	IRF1
STAT1	JUN
STAT1	MAPK1
STAT1	RARA
STAT1	STAT3
STAT1	STAT5B
STAT3	AKT1
STAT3	IRF1
STAT3	JUN
STAT3	MAPK1
STAT3	RARA
STAT3	STAT1
STAT3	STAT5B
STAT5B	AKT1
STAT5B	IRF1
STAT5B	MAPK1
STAT5B	RARA
GATA3	CNTF
IRF1	CNTF
JUN	CNTF
RARA	CNTF
STAT3	CNTF
STAT5B	CNTF
