from	to
AKT1	CREB1
AKT1	GATA3
AKT1	MYC
AKT1	STAT1
AKT1	STAT3
AKT1	STAT5B
CREB1	MYC
CREB1	STAT3
GATA3	AKT1
GATA3	IL4R
GATA3	MYC
IL13	AKT1
IL13	CREB1
IL13	GATA3
IL13	IL4R
IL13	JAK1
IL13	STAT1
IL13	STAT3
IL13	STAT5B
IL4R	GATA3
IL4R	JAK1
IL4R	MYC
IL4R	STAT1
IL4R	STAT3
IL4R	STAT5B
JAK1	AKT1
JAK1	IL4R
JAK1	MYC
JAK1	STAT1
JAK1	STAT3
JAK1	STAT5B
MYC	CREB1
MYC	GATA3
MYC	IL4R
MYC	STAT5B
STAT1	AKT1
STAT1	GATA3
STAT1	MYC
STAT1	STAT3
STAT1	STAT5B
STAT3	AKT1
STAT3	CREB1
STAT3	MYC
STAT3	STAT1
STAT3	STAT5B
STAT5B	AKT1
STAT5B	JAK1
STAT5B	MYC
CREB1	TGFB3
GATA3	TGFB3
MYC	TGFB3
STAT1	TGFB3
STAT3	TGFB3
STAT5B	TGFB3
