from	to
HNF4A	MYC
IL15	HNF4A
IL15	IL2RA
IL15	IL2RG
IL15	JAK3
IL15	MYC
IL15	NFKB1
IL15	STAT3
IL15	STAT4
IL15	STAT6
IL2RA	IL2RG
IL2RA	JAK3
IL2RA	MAPK14
IL2RA	MYC
IL2RA	NFKB1
IL2RA	STAT3
IL2RA	STAT4
IL2RA	STAT6
IL2RG	JAK3
IL2RG	MAPK14
IL2RG	MYC
IL2RG	STAT3
IL2RG	STAT4
IL2RG	STAT6
JAK3	IL2RA
JAK3	IL2RG
JAK3	MAPK14
JAK3	MYC
JAK3	STAT3
JAK3	STAT4
JAK3	STAT6
MAPK14	HNF4A
MAPK14	JAK3
MAPK14	MYC
MAPK14	NFKB1
MAPK14	STAT3
MAPK14	STAT4
MAPK14	STAT6
MYC	HNF4A
MYC	NFKB1
NFKB1	JAK3
NFKB1	MYC
NFKB1	STAT3
STAT3	MYC
STAT3	NFKB1
STAT3	STAT4
STAT3	STAT6
STAT4	IL2RA
STAT4	IL2RG
STAT4	MAPK14
STAT4	MYC
STAT4	NFKB1
STAT4	STAT3
STAT4	STAT6
STAT6	IL2RA
STAT6	MYC
STAT6	NFKB1
STAT6	STAT3
STAT6	STAT4
HNF4A	LTB
IL15	LTB
MYC	LTB
NFKB1	LTB
STAT4	LTB
STAT6	LTB
