from	to
IL15	IL2RA
IL15	JAK3
IL15	MYC
IL15	NFKB1
IL15	STAT3
IL15	STAT4
IL15	STAT5A
IL2RA	JAK3
IL2RA	MYC
IL2RA	NFKB1
IL2RA	STAT3
IL2RA	STAT4
IL2RA	STAT5A
JAK3	IL2RA
JAK3	MYC
JAK3	STAT3
JAK3	STAT4
JAK3	STAT5A
MYC	NFKB1
NFKB1	JAK3
NFKB1	MYC
NFKB1	STAT3
NFKB1	STAT5A
STAT3	MYC
STAT3	NFKB1
STAT3	STAT4
STAT3	STAT5A
STAT4	IL2RA
STAT4	MYC
STAT4	NFKB1
STAT4	STAT3
STAT4	STAT5A
STAT5A	IL2RA
STAT5A	JAK3
STAT5A	MYC
STAT5A	NFKB1
STAT5A	STAT3
STAT5A	STAT4
IL15	TNFSF14
MYC	TNFSF14
NFKB1	TNFSF14
STAT3	TNFSF14
STAT4	TNFSF14
STAT5A	TNFSF14
