from	to
IKBKB	IRF3
IKBKB	IRF7
IKBKB	MYC
IKBKB	NFKB1
IKBKB	RELA
IKBKB	STAT3
IL17A	NFKB1
IL17A	RELA
IL17A	STAT3
IL17A	TRAF6
IRF3	MYC
IRF3	NFKB1
IRF3	RELA
IRF3	TRAF6
IRF7	IKBKB
IRF7	IRF3
IRF7	NFKB1
IRF7	TCF4
MYC	IRF3
MYC	NFKB1
MYC	RELA
NFKB1	IKBKB
NFKB1	IRF3
NFKB1	IRF7
NFKB1	MYC
NFKB1	RELA
NFKB1	STAT3
NFKB1	TCF4
NFKB1	TRAF6
NLK	MYC
NLK	STAT3
NLK	TCF4
RELA	IRF3
RELA	MYC
RELA	NFKB1
RELA	TCF4
RELA	TRAF6
STAT3	MYC
STAT3	NFKB1
STAT3	NLK
STAT3	RELA
STAT3	TRAF6
TCF4	IRF7
TCF4	MYC
TCF4	NFKB1
TCF4	RELA
TRAF6	IKBKB
TRAF6	IRF3
TRAF6	IRF7
TRAF6	NFKB1
TRAF6	RELA
TRAF6	STAT3
IRF3	IFNL1
IRF7	IFNL1
MYC	IFNL1
RELA	IFNL1
STAT3	IFNL1
TCF4	IFNL1
