from	to
ATF2	ETS1
ATF2	NFKB1
ATF2	RELA
ATF2	TP53
ETS1	ATF2
ETS1	MYC
ETS1	NCOA1
ETS1	NFKB1
IL17A	ATF2
IL17A	ETS1
IL17A	MAPK14
IL17A	NFKB1
IL17A	RELA
IL17A	STAT3
MAPK14	ATF2
MAPK14	ETS1
MAPK14	MYC
MAPK14	NCOA1
MAPK14	NFKB1
MAPK14	PPARG
MAPK14	RELA
MAPK14	STAT3
MAPK14	TP53
MYC	ATF2
MYC	NCOA1
MYC	NFKB1
MYC	RELA
MYC	TP53
NCOA1	ETS1
NCOA1	NFKB1
NCOA1	PPARG
NCOA1	RELA
NCOA1	STAT3
NCOA1	TP53
NFKB1	ATF2
NFKB1	ETS1
NFKB1	MYC
NFKB1	NCOA1
NFKB1	RELA
NFKB1	STAT3
NFKB1	TP53
PPARG	ETS1
PPARG	NCOA1
PPARG	NFKB1
PPARG	RELA
PPARG	STAT3
PPARG	TP53
RELA	ATF2
RELA	MYC
RELA	NCOA1
RELA	NFKB1
RELA	PPARG
RELA	TP53
STAT3	MYC
STAT3	NCOA1
STAT3	NFKB1
STAT3	PPARG
STAT3	RELA
TP53	ATF2
TP53	ETS1
TP53	MAPK14
TP53	NCOA1
TP53	NFKB1
TP53	RELA
ATF2	RETN
ETS1	RETN
MYC	RETN
PPARG	RETN
RELA	RETN
TP53	RETN
