from	to
HSF1	NFKB1
HSF1	TP53
IL1A	HSF1
IL1A	JUN
IL1A	MAP3K1
IL1A	MAPK8
IL1A	MAPKAPK2
IL1A	NFKB1
IL1A	RELA
IL1A	TP53
IL1A	TRAF6
JUN	TP53
MAP3K1	JUN
MAP3K1	MAPK8
MAP3K1	NFKB1
MAP3K1	RELA
MAP3K1	TP53
MAPK8	HSF1
MAPK8	JUN
MAPK8	MAPKAPK2
MAPK8	RELA
MAPK8	TP53
MAPK8	TRAF6
MAPKAPK2	HSF1
MAPKAPK2	TP53
NFKB1	JUN
NFKB1	MAPK8
NFKB1	RELA
NFKB1	TP53
NFKB1	TRAF6
RELA	JUN
RELA	NFKB1
RELA	TP53
RELA	TRAF6
TP53	HSF1
TP53	JUN
TP53	MAP3K1
TP53	MAPK8
TP53	NFKB1
TP53	RELA
TRAF6	MAP3K1
TRAF6	MAPK8
TRAF6	NFKB1
TRAF6	RELA
TRAF6	TP53
HSF1	CCL20
IL1A	CCL20
JUN	CCL20
NFKB1	CCL20
RELA	CCL20
TP53	CCL20
