from	to
IL1A	IRAK1
IL1A	MAPK8
IL1A	NFKB1
IL1A	RELA
IL1A	SP1
IL1A	TP53
IL1A	TRAF6
IRAK1	MAPK8
IRAK1	NFKB1
IRAK1	RELA
IRAK1	STAT3
IRAK1	TRAF6
MAPK8	IRAK1
MAPK8	RELA
MAPK8	SP1
MAPK8	STAT3
MAPK8	TP53
MAPK8	TRAF6
NFKB1	MAPK8
NFKB1	RELA
NFKB1	STAT3
NFKB1	TP53
NFKB1	TRAF6
RELA	NFKB1
RELA	SP1
RELA	TP53
RELA	TRAF6
SP1	NFKB1
SP1	STAT3
SP1	TP53
STAT3	MAPK8
STAT3	NFKB1
STAT3	RELA
STAT3	SP1
STAT3	TRAF6
TP53	MAPK8
TP53	NFKB1
TP53	RELA
TP53	SP1
TRAF6	IRAK1
TRAF6	MAPK8
TRAF6	NFKB1
TRAF6	RELA
TRAF6	STAT3
TRAF6	TP53
IL1A	CXCL1
NFKB1	CXCL1
RELA	CXCL1
SP1	CXCL1
STAT3	CXCL1
TP53	CXCL1
