from	to
IL1A	IRAK1
IL1A	JUN
IL1A	MAP3K1
IL1A	MAPK8
IL1A	NFKB1
IL1A	RELA
IL1A	TP53
IL1A	TRAF6
IRAK1	JUN
IRAK1	MAP3K1
IRAK1	MAPK8
IRAK1	NFKB1
IRAK1	RELA
IRAK1	STAT3
IRAK1	TRAF6
JUN	STAT3
JUN	TP53
MAP3K1	JUN
MAP3K1	MAPK8
MAP3K1	NFKB1
MAP3K1	RELA
MAP3K1	STAT3
MAP3K1	TP53
MAPK8	IRAK1
MAPK8	JUN
MAPK8	RELA
MAPK8	STAT3
MAPK8	TP53
MAPK8	TRAF6
NFKB1	JUN
NFKB1	MAPK8
NFKB1	RELA
NFKB1	STAT3
NFKB1	TP53
NFKB1	TRAF6
RELA	JUN
RELA	NFKB1
RELA	TP53
RELA	TRAF6
STAT3	JUN
STAT3	MAPK8
STAT3	NFKB1
STAT3	RELA
STAT3	TRAF6
TP53	JUN
TP53	MAP3K1
TP53	MAPK8
TP53	NFKB1
TP53	RELA
TRAF6	IRAK1
TRAF6	MAP3K1
TRAF6	MAPK8
TRAF6	NFKB1
TRAF6	RELA
TRAF6	STAT3
TRAF6	TP53
IL1A	IL6
JUN	IL6
NFKB1	IL6
RELA	IL6
STAT3	IL6
TP53	IL6
