from	to
CHUK	ESR1
CHUK	NFKB1
CHUK	RELA
CHUK	STAT2
CHUK	STAT3
ESR1	IRAK1
ESR1	JAK1
ESR1	NFKB1
ESR1	RELA
ESR1	STAT3
IL1A	CHUK
IL1A	ESR1
IL1A	IRAK1
IL1A	JAK1
IL1A	JAK3
IL1A	NFKB1
IL1A	RELA
IRAK1	CHUK
IRAK1	ESR1
IRAK1	JAK1
IRAK1	NFKB1
IRAK1	RELA
IRAK1	STAT2
IRAK1	STAT3
JAK1	ESR1
JAK1	IRAK1
JAK1	JAK3
JAK1	STAT2
JAK1	STAT3
JAK3	JAK1
JAK3	STAT2
JAK3	STAT3
NFKB1	CHUK
NFKB1	JAK3
NFKB1	RELA
NFKB1	STAT2
NFKB1	STAT3
RELA	NFKB1
STAT2	JAK1
STAT2	NFKB1
STAT3	ESR1
STAT3	NFKB1
STAT3	RELA
STAT3	STAT2
ESR1	TNFSF15
IL1A	TNFSF15
NFKB1	TNFSF15
RELA	TNFSF15
STAT2	TNFSF15
STAT3	TNFSF15
