from	to
CEBPB	CREB1
CEBPB	EGR1
CEBPB	JUN
CREB1	EGR1
CREB1	RELA
EGR1	JUN
ESR1	CEBPB
ESR1	CREB1
ESR1	JUN
ESR1	MAPK1
ESR1	RELA
IL1B	CEBPB
IL1B	CREB1
IL1B	EGR1
IL1B	ESR1
IL1B	JUN
IL1B	MAPK1
IL1B	MAPK8
IL1B	RELA
JUN	CEBPB
JUN	CREB1
JUN	EGR1
JUN	ESR1
JUN	MAPK1
MAPK1	CEBPB
MAPK1	CREB1
MAPK1	EGR1
MAPK1	ESR1
MAPK1	JUN
MAPK1	MAPK8
MAPK1	RELA
MAPK8	CEBPB
MAPK8	CREB1
MAPK8	EGR1
MAPK8	ESR1
MAPK8	JUN
MAPK8	MAPK1
MAPK8	RELA
RELA	CEBPB
RELA	CREB1
RELA	EGR1
RELA	JUN
RELA	MAPK1
CEBPB	CLCF1
CREB1	CLCF1
EGR1	CLCF1
ESR1	CLCF1
JUN	CLCF1
RELA	CLCF1
