from	to
CTNNB1	HIF1A
CTNNB1	MAPK1
CTNNB1	RELA
CTNNB1	STAT3
CTNNB1	TP53
ESR1	CTNNB1
ESR1	HIF1A
ESR1	IRAK1
ESR1	MAPK1
ESR1	RELA
ESR1	STAT3
ESR1	TP53
HIF1A	CTNNB1
HIF1A	MAPK1
HIF1A	RELA
HIF1A	TP53
IL1B	CTNNB1
IL1B	ESR1
IL1B	HIF1A
IL1B	IRAK1
IL1B	MAPK1
IL1B	MAPK8
IL1B	RELA
IL1B	TP53
IRAK1	ESR1
IRAK1	MAPK1
IRAK1	MAPK8
IRAK1	RELA
IRAK1	STAT3
MAPK1	CTNNB1
MAPK1	ESR1
MAPK1	HIF1A
MAPK1	MAPK8
MAPK1	RELA
MAPK1	STAT3
MAPK1	TP53
MAPK8	CTNNB1
MAPK8	ESR1
MAPK8	HIF1A
MAPK8	IRAK1
MAPK8	MAPK1
MAPK8	RELA
MAPK8	STAT3
MAPK8	TP53
RELA	CTNNB1
RELA	MAPK1
RELA	TP53
STAT3	CTNNB1
STAT3	ESR1
STAT3	HIF1A
STAT3	MAPK1
STAT3	MAPK8
STAT3	RELA
TP53	CTNNB1
TP53	ESR1
TP53	HIF1A
TP53	MAPK1
TP53	MAPK8
TP53	RELA
CTNNB1	CMTM7
ESR1	CMTM7
HIF1A	CMTM7
RELA	CMTM7
STAT3	CMTM7
TP53	CMTM7
