from	to
EGR1	JUN
EGR1	MYC
EGR1	NFKB1
EGR1	TP53
EGR1	WT1
IL1B	EGR1
IL1B	JUN
IL1B	MAPK8
IL1B	MYC
IL1B	NFKB1
IL1B	SP1
IL1B	TP53
IL1B	WT1
JUN	EGR1
JUN	MYC
JUN	SP1
JUN	TP53
JUN	WT1
MAPK8	EGR1
MAPK8	JUN
MAPK8	MYC
MAPK8	SP1
MAPK8	TP53
MYC	EGR1
MYC	NFKB1
MYC	SP1
MYC	TP53
MYC	WT1
NFKB1	EGR1
NFKB1	JUN
NFKB1	MAPK8
NFKB1	MYC
NFKB1	TP53
SP1	EGR1
SP1	JUN
SP1	MYC
SP1	NFKB1
SP1	TP53
SP1	WT1
TP53	EGR1
TP53	JUN
TP53	MAPK8
TP53	NFKB1
TP53	SP1
TP53	WT1
WT1	EGR1
WT1	JUN
WT1	MYC
WT1	SP1
WT1	TP53
EGR1	IGF2
JUN	IGF2
MYC	IGF2
NFKB1	IGF2
SP1	IGF2
WT1	IGF2
