from	to
EP300	MAPK8
EP300	PTEN
EP300	SPI1
EP300	STAT3
EP300	TP53
IL1B	EP300
IL1B	IRAK1
IL1B	JAK2
IL1B	MAPK8
IL1B	PTEN
IL1B	SPI1
IL1B	TP53
IRAK1	LCK
IRAK1	MAPK8
IRAK1	PTEN
IRAK1	STAT3
JAK2	LCK
JAK2	MAPK8
JAK2	PTEN
JAK2	STAT3
LCK	IRAK1
LCK	JAK2
LCK	MAPK8
LCK	PTEN
LCK	SPI1
LCK	STAT3
LCK	TP53
MAPK8	EP300
MAPK8	IRAK1
MAPK8	JAK2
MAPK8	LCK
MAPK8	PTEN
MAPK8	SPI1
MAPK8	STAT3
MAPK8	TP53
PTEN	EP300
PTEN	JAK2
PTEN	LCK
PTEN	STAT3
PTEN	TP53
SPI1	EP300
SPI1	MAPK8
SPI1	TP53
STAT3	EP300
STAT3	MAPK8
STAT3	PTEN
STAT3	SPI1
TP53	EP300
TP53	LCK
TP53	MAPK8
TP53	PTEN
TP53	SPI1
EP300	IL33
IL1B	IL33
PTEN	IL33
SPI1	IL33
STAT3	IL33
TP53	IL33
