from	to
CREB1	NFKB1
CREB1	RELA
CREB1	STAT3
CREB1	TP53
IL1B	CREB1
IL1B	IRAK1
IL1B	JAK2
IL1B	MAPK8
IL1B	NFKB1
IL1B	RELA
IL1B	STAT5B
IL1B	TP53
IRAK1	MAPK8
IRAK1	NFKB1
IRAK1	RELA
IRAK1	STAT3
IRAK1	STAT5B
JAK2	MAPK8
JAK2	NFKB1
JAK2	RELA
JAK2	STAT3
JAK2	STAT5B
MAPK8	CREB1
MAPK8	IRAK1
MAPK8	JAK2
MAPK8	RELA
MAPK8	STAT3
MAPK8	STAT5B
MAPK8	TP53
NFKB1	CREB1
NFKB1	MAPK8
NFKB1	RELA
NFKB1	STAT3
NFKB1	TP53
RELA	CREB1
RELA	NFKB1
RELA	TP53
STAT3	CREB1
STAT3	MAPK8
STAT3	NFKB1
STAT3	RELA
STAT3	STAT5B
STAT5B	NFKB1
TP53	MAPK8
TP53	NFKB1
TP53	RELA
CREB1	LTA
NFKB1	LTA
RELA	LTA
STAT3	LTA
STAT5B	LTA
TP53	LTA
