from	to
AKT1	ESR1
AKT1	MAPK1
AKT1	MYC
AKT1	NFKB1
AKT1	STAT3
AKT1	YBX1
ESR1	AKT1
ESR1	LYN
ESR1	MAPK1
ESR1	MYC
ESR1	NFKB1
ESR1	STAT3
ESR1	TRIM28
ESR1	YBX1
IL2	AKT1
IL2	ESR1
IL2	LYN
IL2	MAPK1
IL2	MYC
IL2	STAT3
IL2	TRIM28
IL2	YBX1
LYN	AKT1
LYN	MAPK1
LYN	MYC
LYN	NFKB1
LYN	STAT3
LYN	TRIM28
MAPK1	AKT1
MAPK1	ESR1
MAPK1	LYN
MAPK1	MYC
MAPK1	NFKB1
MAPK1	STAT3
MAPK1	TRIM28
MAPK1	YBX1
MYC	NFKB1
MYC	YBX1
NFKB1	AKT1
NFKB1	MAPK1
NFKB1	MYC
NFKB1	STAT3
STAT3	AKT1
STAT3	ESR1
STAT3	MAPK1
STAT3	MYC
STAT3	NFKB1
TRIM28	ESR1
TRIM28	MAPK1
TRIM28	MYC
TRIM28	STAT3
YBX1	ESR1
YBX1	MYC
ESR1	CKLF
MYC	CKLF
NFKB1	CKLF
STAT3	CKLF
TRIM28	CKLF
YBX1	CKLF
