from	to
IL3	JAK2
IL3	JUN
IL3	MAPK1
IL3	NFKB1
IL3	PIK3R1
IL3	STAT1
IL3	STAT3
IL3	STAT5A
JAK2	MAPK1
JAK2	NFKB1
JAK2	PIK3R1
JAK2	STAT1
JAK2	STAT3
JAK2	STAT5A
JUN	MAPK1
JUN	PIK3R1
JUN	STAT3
JUN	STAT5A
MAPK1	JAK2
MAPK1	JUN
MAPK1	NFKB1
MAPK1	STAT1
MAPK1	STAT3
MAPK1	STAT5A
NFKB1	JUN
NFKB1	MAPK1
NFKB1	STAT1
NFKB1	STAT3
NFKB1	STAT5A
PIK3R1	JAK2
PIK3R1	JUN
PIK3R1	MAPK1
PIK3R1	NFKB1
PIK3R1	STAT3
PIK3R1	STAT5A
STAT1	JUN
STAT1	MAPK1
STAT1	STAT3
STAT1	STAT5A
STAT3	JUN
STAT3	MAPK1
STAT3	NFKB1
STAT3	STAT1
STAT3	STAT5A
STAT5A	JUN
STAT5A	MAPK1
STAT5A	NFKB1
STAT5A	PIK3R1
STAT5A	STAT3
IL3	CSF1
JUN	CSF1
NFKB1	CSF1
STAT1	CSF1
STAT3	CSF1
STAT5A	CSF1
