from	to
CREB1	NFKB1
CREB1	STAT3
GATA2	HIF1A
GATA2	JUN
GATA2	NFKB1
HIF1A	CREB1
HIF1A	GATA2
HIF1A	JAK2
HIF1A	JUN
HIF1A	MAPK1
HIF1A	NFKB1
HIF1A	RELB
IL3	CREB1
IL3	GATA2
IL3	JAK2
IL3	JUN
IL3	MAPK1
IL3	NFKB1
IL3	PIK3R1
IL3	PRKACA
IL3	RELB
IL3	STAT3
JAK2	HIF1A
JAK2	MAPK1
JAK2	NFKB1
JAK2	PIK3R1
JAK2	PRKACA
JAK2	RELB
JAK2	STAT3
JUN	CREB1
JUN	GATA2
JUN	HIF1A
JUN	MAPK1
JUN	PIK3R1
JUN	RELB
JUN	STAT3
MAPK1	CREB1
MAPK1	GATA2
MAPK1	HIF1A
MAPK1	JAK2
MAPK1	JUN
MAPK1	NFKB1
MAPK1	PRKACA
MAPK1	STAT3
NFKB1	CREB1
NFKB1	GATA2
NFKB1	JUN
NFKB1	MAPK1
NFKB1	RELB
NFKB1	STAT3
PIK3R1	CREB1
PIK3R1	JAK2
PIK3R1	JUN
PIK3R1	MAPK1
PIK3R1	NFKB1
PIK3R1	STAT3
PRKACA	CREB1
PRKACA	HIF1A
PRKACA	JAK2
PRKACA	JUN
PRKACA	MAPK1
PRKACA	NFKB1
PRKACA	PIK3R1
PRKACA	STAT3
RELB	HIF1A
RELB	JUN
RELB	NFKB1
RELB	STAT3
STAT3	CREB1
STAT3	GATA2
STAT3	HIF1A
STAT3	JUN
STAT3	MAPK1
STAT3	NFKB1
STAT3	RELB
CREB1	HBEGF
GATA2	HBEGF
HIF1A	HBEGF
IL3	HBEGF
JUN	HBEGF
RELB	HBEGF
