from	to
GATA2	JUN
GATA2	MYC
GATA2	NFKB1
IL3	GATA2
IL3	JAK2
IL3	JUN
IL3	MAPK1
IL3	NFKB1
IL3	PIK3CA
IL3	PIK3R1
IL3	RAF1
IL3	STAT5B
JAK2	MAPK1
JAK2	MYC
JAK2	NFKB1
JAK2	PIK3CA
JAK2	PIK3R1
JAK2	RAF1
JAK2	RELA
JAK2	STAT5B
JUN	GATA2
JUN	MAPK1
JUN	MYC
JUN	PIK3R1
MAPK1	GATA2
MAPK1	JAK2
MAPK1	JUN
MAPK1	MYC
MAPK1	NFKB1
MAPK1	RAF1
MAPK1	RELA
MAPK1	STAT5B
MYC	GATA2
MYC	NFKB1
MYC	RELA
MYC	STAT5B
NFKB1	GATA2
NFKB1	JUN
NFKB1	MAPK1
NFKB1	MYC
NFKB1	RAF1
NFKB1	RELA
PIK3CA	JAK2
PIK3CA	MAPK1
PIK3CA	MYC
PIK3CA	NFKB1
PIK3CA	PIK3R1
PIK3CA	RELA
PIK3CA	STAT5B
PIK3R1	JAK2
PIK3R1	JUN
PIK3R1	MAPK1
PIK3R1	MYC
PIK3R1	NFKB1
PIK3R1	PIK3CA
PIK3R1	RELA
RAF1	MAPK1
RAF1	MYC
RAF1	NFKB1
RAF1	RELA
RAF1	STAT5B
RELA	JUN
RELA	MAPK1
RELA	MYC
RELA	NFKB1
STAT5B	MAPK1
STAT5B	MYC
STAT5B	NFKB1
STAT5B	PIK3CA
GATA2	IL13
JUN	IL13
MYC	IL13
NFKB1	IL13
RELA	IL13
STAT5B	IL13
