from	to
FOS	JUN
FOS	NFKB1
FOS	PIK3R1
FOS	STAT1
FOS	STAT3
IL3	FOS
IL3	JAK2
IL3	JUN
IL3	MAPK1
IL3	NFKB1
IL3	PIK3R1
IL3	STAT1
IL3	STAT3
JAK2	FOS
JAK2	MAPK1
JAK2	NFKB1
JAK2	PIK3R1
JAK2	STAT1
JAK2	STAT3
JUN	FOS
JUN	MAPK1
JUN	PIK3R1
JUN	STAT3
MAPK1	FOS
MAPK1	JAK2
MAPK1	JUN
MAPK1	NFKB1
MAPK1	STAT1
MAPK1	STAT3
NFKB1	FOS
NFKB1	JUN
NFKB1	MAPK1
NFKB1	STAT1
NFKB1	STAT3
PIK3R1	FOS
PIK3R1	JAK2
PIK3R1	JUN
PIK3R1	MAPK1
PIK3R1	NFKB1
PIK3R1	STAT3
STAT1	FOS
STAT1	JUN
STAT1	MAPK1
STAT1	STAT3
STAT3	FOS
STAT3	JUN
STAT3	MAPK1
STAT3	NFKB1
STAT3	STAT1
FOS	IL1A
IL3	IL1A
JUN	IL1A
NFKB1	IL1A
STAT1	IL1A
STAT3	IL1A
