from	to
AR	HIF1A
AR	JUN
AR	MAPK1
AR	STAT1
AR	STAT3
AR	TP53
HIF1A	AR
HIF1A	JAK2
HIF1A	JUN
HIF1A	MAPK1
HIF1A	TP53
IL4	AR
IL4	HIF1A
IL4	JAK2
IL4	JUN
IL4	MAPK1
IL4	STAT1
IL4	STAT3
IL4	TP53
IL4	TYK2
JAK2	HIF1A
JAK2	MAPK1
JAK2	STAT1
JAK2	STAT3
JAK2	TYK2
JUN	AR
JUN	HIF1A
JUN	MAPK1
JUN	STAT3
JUN	TP53
MAPK1	AR
MAPK1	HIF1A
MAPK1	JAK2
MAPK1	JUN
MAPK1	STAT1
MAPK1	STAT3
MAPK1	TP53
STAT1	HIF1A
STAT1	JUN
STAT1	MAPK1
STAT1	STAT3
STAT3	AR
STAT3	HIF1A
STAT3	JUN
STAT3	MAPK1
STAT3	STAT1
TP53	AR
TP53	HIF1A
TP53	JUN
TP53	MAPK1
TP53	STAT1
TYK2	JAK2
TYK2	MAPK1
TYK2	STAT1
TYK2	STAT3
AR	ADM
HIF1A	ADM
IL4	ADM
JUN	ADM
STAT1	ADM
TP53	ADM
