from	to
AR	ESR1
AR	HIF1A
AR	MAPK1
AR	MYC
AR	PPARG
AR	STAT3
ESR1	AR
ESR1	HIF1A
ESR1	JAK2
ESR1	MAPK1
ESR1	MYC
ESR1	PPARG
ESR1	RAF1
ESR1	STAT3
HIF1A	AR
HIF1A	JAK2
HIF1A	MAPK1
HIF1A	MYC
HIF1A	PPARG
IL4	AR
IL4	ESR1
IL4	HIF1A
IL4	JAK2
IL4	MAPK1
IL4	PPARG
IL4	RAF1
IL4	STAT3
JAK2	ESR1
JAK2	HIF1A
JAK2	MAPK1
JAK2	MYC
JAK2	RAF1
JAK2	STAT3
MAPK1	AR
MAPK1	ESR1
MAPK1	HIF1A
MAPK1	JAK2
MAPK1	MYC
MAPK1	PPARG
MAPK1	RAF1
MAPK1	STAT3
MYC	AR
PPARG	AR
PPARG	MAPK1
PPARG	STAT3
RAF1	AR
RAF1	MAPK1
RAF1	MYC
RAF1	STAT3
STAT3	AR
STAT3	ESR1
STAT3	HIF1A
STAT3	MAPK1
STAT3	MYC
STAT3	PPARG
AR	ANGPTL4
ESR1	ANGPTL4
HIF1A	ANGPTL4
MYC	ANGPTL4
PPARG	ANGPTL4
STAT3	ANGPTL4
