from	to
CREB1	EP300
CREB1	STAT3
CREB1	TP53
EP300	CREB1
EP300	JUN
EP300	STAT3
EP300	STAT6
EP300	TP53
IL4	CREB1
IL4	EP300
IL4	JAK2
IL4	JUN
IL4	MAPK1
IL4	MAPK14
IL4	STAT3
IL4	STAT6
IL4	TP53
JAK2	MAPK1
JAK2	STAT3
JAK2	STAT6
JUN	CREB1
JUN	EP300
JUN	MAPK1
JUN	STAT3
JUN	STAT6
JUN	TP53
MAPK1	CREB1
MAPK1	EP300
MAPK1	JAK2
MAPK1	JUN
MAPK1	MAPK14
MAPK1	STAT3
MAPK1	STAT6
MAPK1	TP53
MAPK14	CREB1
MAPK14	EP300
MAPK14	JAK2
MAPK14	JUN
MAPK14	MAPK1
MAPK14	STAT3
MAPK14	STAT6
MAPK14	TP53
STAT3	CREB1
STAT3	EP300
STAT3	JUN
STAT3	MAPK1
STAT3	STAT6
STAT6	EP300
STAT6	JUN
STAT6	STAT3
STAT6	TP53
TP53	EP300
TP53	JUN
TP53	MAPK1
TP53	MAPK14
TP53	STAT6
CREB1	CCL7
EP300	CCL7
IL4	CCL7
JUN	CCL7
STAT3	CCL7
TP53	CCL7
