from	to
CD40	JAK2
CD40	MAPK1
CD40	NFKB1
CD40	STAT3
CD40	TP53
IL4	CD40
IL4	IL4R
IL4	JAK2
IL4	MAPK1
IL4	NFKB1
IL4	RAF1
IL4	STAT3
IL4	TP53
IL4R	CD40
IL4R	JAK2
IL4R	MYC
IL4R	STAT3
JAK2	CD40
JAK2	IL4R
JAK2	MAPK1
JAK2	MYC
JAK2	NFKB1
JAK2	RAF1
JAK2	STAT3
MAPK1	JAK2
MAPK1	MYC
MAPK1	NFKB1
MAPK1	RAF1
MAPK1	STAT3
MAPK1	TP53
MYC	IL4R
MYC	NFKB1
MYC	TP53
NFKB1	MAPK1
NFKB1	MYC
NFKB1	RAF1
NFKB1	STAT3
NFKB1	TP53
RAF1	MAPK1
RAF1	MYC
RAF1	NFKB1
RAF1	STAT3
STAT3	MAPK1
STAT3	MYC
STAT3	NFKB1
TP53	MAPK1
TP53	NFKB1
CD40	CD70
IL4	CD70
MYC	CD70
NFKB1	CD70
STAT3	CD70
TP53	CD70
