from	to
CTNNB1	ETS1
CTNNB1	STAT1
CTNNB1	STAT3
CTNNB1	TYK2
ETS1	CTNNB1
ETS1	NFATC1
IL4	CTNNB1
IL4	ETS1
IL4	JAK2
IL4	JAK3
IL4	NFATC1
IL4	PTPN1
IL4	STAT1
IL4	STAT3
IL4	STAT6
IL4	TYK2
JAK2	JAK3
JAK2	PTPN1
JAK2	STAT1
JAK2	STAT3
JAK2	STAT6
JAK2	TYK2
JAK3	CTNNB1
JAK3	ETS1
JAK3	JAK2
JAK3	NFATC1
JAK3	PTPN1
JAK3	STAT1
JAK3	STAT3
JAK3	STAT6
NFATC1	ETS1
NFATC1	STAT3
PTPN1	CTNNB1
PTPN1	JAK2
PTPN1	STAT3
PTPN1	STAT6
PTPN1	TYK2
STAT1	CTNNB1
STAT1	STAT3
STAT3	CTNNB1
STAT3	NFATC1
STAT3	STAT1
STAT3	STAT6
STAT6	ETS1
STAT6	STAT1
STAT6	STAT3
TYK2	CTNNB1
TYK2	JAK2
TYK2	JAK3
TYK2	PTPN1
TYK2	STAT1
TYK2	STAT3
TYK2	STAT6
CTNNB1	CMTM1
ETS1	CMTM1
NFATC1	CMTM1
PTPN1	CMTM1
STAT1	CMTM1
STAT3	CMTM1
