from	to
IL4	JAK2
IL4	JUN
IL4	MAPK1
IL4	NFKB1
IL4	SP1
IL4	STAT3
IL4	TYK2
JAK2	MAPK1
JAK2	NFKB1
JAK2	RELA
JAK2	STAT3
JAK2	TYK2
JUN	MAPK1
JUN	SP1
JUN	STAT3
MAPK1	JAK2
MAPK1	JUN
MAPK1	NFKB1
MAPK1	RELA
MAPK1	SP1
MAPK1	STAT3
NFKB1	JUN
NFKB1	MAPK1
NFKB1	RELA
NFKB1	STAT3
RELA	JUN
RELA	MAPK1
RELA	NFKB1
RELA	SP1
SP1	JUN
SP1	NFKB1
SP1	STAT3
STAT3	JUN
STAT3	MAPK1
STAT3	NFKB1
STAT3	RELA
STAT3	SP1
TYK2	JAK2
TYK2	MAPK1
TYK2	NFKB1
TYK2	RELA
TYK2	STAT3
IL4	CXCL5
JUN	CXCL5
NFKB1	CXCL5
RELA	CXCL5
SP1	CXCL5
STAT3	CXCL5
