from	to
CEBPB	STAT3
CEBPB	TP53
IL4	CEBPB
IL4	JAK2
IL4	MAPK1
IL4	PPARG
IL4	STAT3
IL4	STAT5B
IL4	STAT6
IL4	TP53
JAK2	MAPK1
JAK2	STAT3
JAK2	STAT5B
JAK2	STAT6
MAPK1	CEBPB
MAPK1	JAK2
MAPK1	PPARG
MAPK1	STAT3
MAPK1	STAT5B
MAPK1	STAT6
MAPK1	TP53
PPARG	CEBPB
PPARG	MAPK1
PPARG	STAT3
PPARG	TP53
STAT3	MAPK1
STAT3	PPARG
STAT3	STAT5B
STAT3	STAT6
STAT5B	MAPK1
STAT5B	STAT6
STAT6	CEBPB
STAT6	PPARG
STAT6	STAT3
STAT6	STAT5B
STAT6	TP53
TP53	CEBPB
TP53	MAPK1
TP53	STAT6
CEBPB	HGF
IL4	HGF
PPARG	HGF
STAT3	HGF
STAT5B	HGF
TP53	HGF
