from	to
EP300	JUN
EP300	NFKB1
EP300	STAT3
EP300	STAT6
IL4	EP300
IL4	JAK2
IL4	JUN
IL4	NFKB1
IL4	STAT1
IL4	STAT3
IL4	STAT6
IL4	TYK2
JAK2	NFKB1
JAK2	STAT1
JAK2	STAT3
JAK2	STAT6
JAK2	TYK2
JUN	EP300
JUN	STAT3
JUN	STAT6
NFKB1	JUN
NFKB1	STAT1
NFKB1	STAT3
STAT1	EP300
STAT1	JUN
STAT1	STAT3
STAT3	EP300
STAT3	JUN
STAT3	NFKB1
STAT3	STAT1
STAT3	STAT6
STAT6	EP300
STAT6	JUN
STAT6	NFKB1
STAT6	STAT1
STAT6	STAT3
TYK2	JAK2
TYK2	NFKB1
TYK2	STAT1
TYK2	STAT3
TYK2	STAT6
EP300	IL1B
IL4	IL1B
JUN	IL1B
NFKB1	IL1B
STAT1	IL1B
STAT3	IL1B
