from	to
ETS1	JUN
ETS1	STAT5A
IL4	ETS1
IL4	JUN
IL4	STAT1
IL4	STAT3
IL4	STAT5A
IL4	STAT5B
IL4	STAT6
IL4	TYK2
JUN	ETS1
JUN	STAT3
JUN	STAT5A
JUN	STAT6
STAT1	JUN
STAT1	STAT3
STAT1	STAT5A
STAT1	STAT5B
STAT3	JUN
STAT3	STAT1
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT6
STAT5A	ETS1
STAT5A	JUN
STAT5A	STAT3
STAT5A	STAT5B
STAT5A	STAT6
STAT5B	ETS1
STAT5B	STAT5A
STAT5B	STAT6
STAT6	ETS1
STAT6	JUN
STAT6	STAT1
STAT6	STAT3
STAT6	STAT5A
STAT6	STAT5B
TYK2	STAT1
TYK2	STAT3
TYK2	STAT5A
TYK2	STAT5B
TYK2	STAT6
ETS1	OSM
JUN	OSM
STAT1	OSM
STAT3	OSM
STAT5A	OSM
STAT5B	OSM
