from	to
ETS1	GATA1
ETS1	NFKB1
ETS1	SP1
GATA1	ETS1
GATA1	JAK2
GATA1	SP1
GATA1	STAT3
HIF1A	ETS1
HIF1A	JAK2
HIF1A	MAPK1
HIF1A	NFKB1
HIF1A	SP1
IL4	ETS1
IL4	GATA1
IL4	HIF1A
IL4	JAK2
IL4	MAPK1
IL4	NFKB1
IL4	SP1
IL4	STAT3
IL4	STAT6
JAK2	HIF1A
JAK2	MAPK1
JAK2	NFKB1
JAK2	STAT3
JAK2	STAT6
MAPK1	ETS1
MAPK1	GATA1
MAPK1	HIF1A
MAPK1	JAK2
MAPK1	NFKB1
MAPK1	SP1
MAPK1	STAT3
MAPK1	STAT6
NFKB1	ETS1
NFKB1	MAPK1
NFKB1	STAT3
SP1	ETS1
SP1	GATA1
SP1	HIF1A
SP1	NFKB1
SP1	STAT3
SP1	STAT6
STAT3	GATA1
STAT3	HIF1A
STAT3	MAPK1
STAT3	NFKB1
STAT3	SP1
STAT3	STAT6
STAT6	ETS1
STAT6	NFKB1
STAT6	SP1
STAT6	STAT3
ETS1	PDGFB
GATA1	PDGFB
HIF1A	PDGFB
NFKB1	PDGFB
SP1	PDGFB
STAT3	PDGFB
