from	to
ESR1	HIF1A
ESR1	JAK2
ESR1	MAPK1
ESR1	SP1
ESR1	STAT3
ESR1	TP53
ETS1	SP1
HIF1A	ETS1
HIF1A	JAK2
HIF1A	MAPK1
HIF1A	SP1
HIF1A	TP53
IL4	ESR1
IL4	ETS1
IL4	HIF1A
IL4	JAK2
IL4	MAPK1
IL4	SP1
IL4	STAT3
IL4	STAT6
IL4	TP53
JAK2	ESR1
JAK2	HIF1A
JAK2	MAPK1
JAK2	STAT3
JAK2	STAT6
MAPK1	ESR1
MAPK1	ETS1
MAPK1	HIF1A
MAPK1	JAK2
MAPK1	SP1
MAPK1	STAT3
MAPK1	STAT6
MAPK1	TP53
SP1	ESR1
SP1	ETS1
SP1	HIF1A
SP1	STAT3
SP1	STAT6
SP1	TP53
STAT3	ESR1
STAT3	HIF1A
STAT3	MAPK1
STAT3	SP1
STAT3	STAT6
STAT6	ETS1
STAT6	SP1
STAT6	STAT3
STAT6	TP53
TP53	ESR1
TP53	ETS1
TP53	HIF1A
TP53	MAPK1
TP53	SP1
TP53	STAT6
ESR1	TGFA
ETS1	TGFA
HIF1A	TGFA
IL4	TGFA
SP1	TGFA
TP53	TGFA
