from	to
IL4	JAK2
IL4	JUN
IL4	MAPK1
IL4	STAT1
IL4	STAT3
IL4	STAT6
IL4	TP53
IL4	TYK2
JAK2	MAPK1
JAK2	STAT1
JAK2	STAT3
JAK2	STAT6
JAK2	TYK2
JUN	MAPK1
JUN	STAT3
JUN	STAT6
JUN	TP53
MAPK1	JAK2
MAPK1	JUN
MAPK1	STAT1
MAPK1	STAT3
MAPK1	STAT6
MAPK1	TP53
STAT1	JUN
STAT1	MAPK1
STAT1	STAT3
STAT3	JUN
STAT3	MAPK1
STAT3	STAT1
STAT3	STAT6
STAT6	JUN
STAT6	STAT1
STAT6	STAT3
STAT6	TP53
TP53	JUN
TP53	MAPK1
TP53	STAT1
TP53	STAT6
TYK2	JAK2
TYK2	MAPK1
TYK2	STAT1
TYK2	STAT3
TYK2	STAT6
IL4	WNT5A
JUN	WNT5A
STAT1	WNT5A
STAT3	WNT5A
STAT6	WNT5A
TP53	WNT5A
