from	to
AR	EP300
AR	ESR1
AR	MYC
AR	PTPN11
AR	RELA
AR	SP1
AR	STAT1
AR	STAT3
EP300	AR
EP300	ESR1
EP300	MYC
EP300	RELA
EP300	SP1
EP300	SRC
EP300	STAT3
ESR1	AR
ESR1	EP300
ESR1	MYC
ESR1	RELA
ESR1	SP1
ESR1	SRC
ESR1	STAT1
ESR1	STAT3
IL6	AR
IL6	ESR1
IL6	PTPN11
IL6	RELA
IL6	SP1
IL6	SRC
IL6	STAT1
IL6	STAT3
MYC	AR
MYC	EP300
MYC	PTPN11
MYC	RELA
MYC	SP1
PTPN11	AR
PTPN11	MYC
PTPN11	SRC
PTPN11	STAT1
PTPN11	STAT3
RELA	AR
RELA	EP300
RELA	MYC
RELA	SP1
SP1	AR
SP1	EP300
SP1	ESR1
SP1	MYC
SP1	STAT1
SP1	STAT3
SRC	AR
SRC	EP300
SRC	ESR1
SRC	MYC
SRC	PTPN11
SRC	RELA
SRC	SP1
SRC	STAT1
SRC	STAT3
STAT1	EP300
STAT1	ESR1
STAT1	MYC
STAT1	RELA
STAT1	SP1
STAT1	STAT3
STAT3	AR
STAT3	EP300
STAT3	ESR1
STAT3	MYC
STAT3	PTPN11
STAT3	RELA
STAT3	SP1
STAT3	SRC
STAT3	STAT1
AR	BMP7
EP300	BMP7
ESR1	BMP7
MYC	BMP7
RELA	BMP7
SP1	BMP7
