from	to
ACVR1B	SMAD2
ACVR1B	SMAD3
ACVR1B	SMAD4
ACVR1B	STAT3
ACVR1B	STAT5B
ACVR1B	TP53
INHBA	ACVR1B
INHBA	SMAD2
INHBA	SMAD3
JUN	MYC
JUN	SMAD3
JUN	SMAD4
JUN	STAT3
JUN	TP53
MYC	PIAS3
MYC	SMAD2
MYC	SMAD3
MYC	STAT5B
MYC	TP53
PIAS3	SMAD2
PIAS3	SMAD3
PIAS3	SMAD4
PIAS3	STAT3
PIAS3	STAT5B
SMAD2	JUN
SMAD2	MYC
SMAD2	PIAS3
SMAD2	SMAD3
SMAD2	SMAD4
SMAD2	TP53
SMAD3	JUN
SMAD3	MYC
SMAD3	PIAS3
SMAD3	SMAD2
SMAD3	SMAD4
SMAD3	STAT3
SMAD3	TP53
SMAD4	JUN
SMAD4	MYC
SMAD4	PIAS3
SMAD4	SMAD2
SMAD4	SMAD3
SMAD4	STAT3
SMAD4	TP53
STAT3	JUN
STAT3	MYC
STAT3	PIAS3
STAT3	SMAD3
STAT3	SMAD4
STAT3	STAT5B
STAT5B	MYC
TP53	ACVR1B
TP53	JUN
TP53	SMAD3
TP53	SMAD4
JUN	BDNF
MYC	BDNF
SMAD4	BDNF
STAT3	BDNF
STAT5B	BDNF
TP53	BDNF
