from	to
ACVR1	ACVR1B
ACVR1	PAK1
ACVR1	SMAD3
ACVR1	STAT3
ACVR1	STAT5A
ACVR1	STAT5B
ACVR1	STAT6
ACVR1B	ACVR1
ACVR1B	SMAD3
ACVR1B	STAT3
ACVR1B	STAT5A
ACVR1B	STAT5B
ACVR1B	STAT6
INHBA	ACVR1
INHBA	ACVR1B
INHBA	SMAD3
JUN	SMAD3
JUN	STAT3
JUN	STAT5A
JUN	STAT6
PAK1	ACVR1
PAK1	SMAD3
PAK1	SNAI1
PAK1	STAT3
PAK1	STAT5A
PAK1	STAT5B
PAK1	STAT6
PIAS3	SMAD3
PIAS3	STAT3
PIAS3	STAT5A
PIAS3	STAT5B
PIAS3	STAT6
SMAD3	JUN
SMAD3	PIAS3
SMAD3	SNAI1
SMAD3	STAT3
STAT3	JUN
STAT3	PIAS3
STAT3	SMAD3
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT6
STAT5A	JUN
STAT5A	STAT3
STAT5A	STAT5B
STAT5A	STAT6
STAT5B	STAT5A
STAT5B	STAT6
STAT6	JUN
STAT6	STAT3
STAT6	STAT5A
STAT6	STAT5B
JUN	CCL26
SNAI1	CCL26
STAT3	CCL26
STAT5A	CCL26
STAT5B	CCL26
STAT6	CCL26
