from	to
ACVR1	CREBBP
ACVR1	IKBKB
ACVR1	SMAD3
CREBBP	EP300
CREBBP	IKBKB
CREBBP	JUN
CREBBP	NFKB1
CREBBP	RELA
CREBBP	SMAD3
CREBBP	SP1
EP300	CREBBP
EP300	JUN
EP300	NFKB1
EP300	RELA
EP300	SMAD3
EP300	SP1
IKBKB	ACVR1
IKBKB	CREBBP
IKBKB	JUN
IKBKB	NFKB1
IKBKB	RELA
INHBA	ACVR1
INHBA	SMAD3
JUN	CREBBP
JUN	EP300
JUN	IKBKB
JUN	SMAD3
JUN	SP1
NFKB1	CREBBP
NFKB1	IKBKB
NFKB1	JUN
NFKB1	RELA
NFKB1	SMAD3
RELA	CREBBP
RELA	EP300
RELA	JUN
RELA	NFKB1
RELA	SMAD3
RELA	SP1
SMAD3	CREBBP
SMAD3	EP300
SMAD3	JUN
SMAD3	NFKB1
SMAD3	RELA
SMAD3	SP1
SP1	CREBBP
SP1	EP300
SP1	JUN
SP1	NFKB1
SP1	SMAD3
EP300	CXCL5
INHBA	CXCL5
JUN	CXCL5
NFKB1	CXCL5
RELA	CXCL5
SP1	CXCL5
