from	to
ACVR1B	SMAD2
ACVR1B	SMAD3
ACVR1B	SMAD4
ACVR1B	SMAD7
ACVR1B	TP53
CREBBP	CTNNB1
CREBBP	RELA
CREBBP	SMAD2
CREBBP	SMAD3
CREBBP	SMAD4
CREBBP	SMAD7
CREBBP	TP53
CTNNB1	CREBBP
CTNNB1	RELA
CTNNB1	SMAD2
CTNNB1	SMAD3
CTNNB1	SMAD4
CTNNB1	SMAD7
CTNNB1	TP53
INHBA	ACVR1B
INHBA	ADORA2B
INHBA	SMAD2
INHBA	SMAD3
RELA	CREBBP
RELA	CTNNB1
RELA	SMAD3
RELA	SMAD4
RELA	TP53
SMAD2	CREBBP
SMAD2	SMAD3
SMAD2	SMAD4
SMAD2	SMAD7
SMAD2	TP53
SMAD3	CREBBP
SMAD3	RELA
SMAD3	SMAD2
SMAD3	SMAD4
SMAD3	SMAD7
SMAD3	TP53
SMAD4	CREBBP
SMAD4	RELA
SMAD4	SMAD2
SMAD4	SMAD3
SMAD4	SMAD7
SMAD4	TP53
SMAD7	CREBBP
SMAD7	CTNNB1
SMAD7	SMAD2
SMAD7	SMAD3
SMAD7	SMAD4
SMAD7	TP53
TP53	ACVR1B
TP53	CREBBP
TP53	CTNNB1
TP53	RELA
TP53	SMAD3
TP53	SMAD4
TP53	SMAD7
ADORA2B	FGF8
CTNNB1	FGF8
INHBA	FGF8
RELA	FGF8
SMAD4	FGF8
TP53	FGF8
