from	to
ACVR1	ACVR1B
ACVR1	SMAD1
ACVR1	SMAD2
ACVR1	SMAD3
ACVR1	STAT3
ACVR1B	ACVR1
ACVR1B	SMAD1
ACVR1B	SMAD2
ACVR1B	SMAD3
ACVR1B	SMAD4
ACVR1B	SP1
ACVR1B	STAT3
INHBA	ACVR1
INHBA	ACVR1B
INHBA	SMAD1
INHBA	SMAD2
INHBA	SMAD3
INHBA	TGFBR2
JUN	SMAD1
JUN	SMAD3
JUN	SMAD4
JUN	SP1
JUN	STAT3
JUN	TGFBR2
PIAS3	SMAD2
PIAS3	SMAD3
PIAS3	SMAD4
PIAS3	STAT3
SMAD1	JUN
SMAD1	SMAD3
SMAD1	SMAD4
SMAD1	STAT3
SMAD2	JUN
SMAD2	PIAS3
SMAD2	SMAD1
SMAD2	SMAD3
SMAD2	SMAD4
SMAD2	SP1
SMAD2	TGFBR2
SMAD3	JUN
SMAD3	PIAS3
SMAD3	SMAD1
SMAD3	SMAD2
SMAD3	SMAD4
SMAD3	SP1
SMAD3	STAT3
SMAD3	TGFBR2
SMAD4	JUN
SMAD4	PIAS3
SMAD4	SMAD1
SMAD4	SMAD2
SMAD4	SMAD3
SMAD4	SP1
SMAD4	STAT3
SP1	ACVR1B
SP1	JUN
SP1	SMAD3
SP1	STAT3
STAT3	JUN
STAT3	PIAS3
STAT3	SMAD1
STAT3	SMAD3
STAT3	SMAD4
STAT3	SP1
TGFBR2	ACVR1
TGFBR2	ACVR1B
TGFBR2	JUN
TGFBR2	SMAD1
TGFBR2	SMAD2
TGFBR2	SMAD3
TGFBR2	SMAD4
TGFBR2	STAT3
JUN	PDGFC
SMAD1	PDGFC
SMAD4	PDGFC
SP1	PDGFC
STAT3	PDGFC
TGFBR2	PDGFC
