from	to
ACVR1	ACVR1B
ACVR1	SMAD1
ACVR1	SMAD3
ACVR1	STAT1
ACVR1	STAT3
ACVR1	STAT4
ACVR1B	ACVR1
ACVR1B	SMAD1
ACVR1B	SMAD3
ACVR1B	SMAD4
ACVR1B	STAT1
ACVR1B	STAT3
ACVR1B	STAT4
EP300	SMAD1
EP300	SMAD3
EP300	SMAD4
EP300	STAT3
INHBA	ACVR1
INHBA	ACVR1B
INHBA	SMAD1
INHBA	SMAD3
PIAS3	EP300
PIAS3	SMAD3
PIAS3	SMAD4
PIAS3	STAT1
PIAS3	STAT3
PIAS3	STAT4
SMAD1	EP300
SMAD1	SMAD3
SMAD1	SMAD4
SMAD1	STAT3
SMAD1	STAT4
SMAD3	EP300
SMAD3	PIAS3
SMAD3	SMAD1
SMAD3	SMAD4
SMAD3	STAT3
SMAD4	EP300
SMAD4	PIAS3
SMAD4	SMAD1
SMAD4	SMAD3
SMAD4	STAT1
SMAD4	STAT3
STAT1	EP300
STAT1	SMAD4
STAT1	STAT3
STAT1	STAT4
STAT3	EP300
STAT3	PIAS3
STAT3	SMAD1
STAT3	SMAD3
STAT3	SMAD4
STAT3	STAT1
STAT3	STAT4
STAT4	SMAD1
STAT4	STAT1
STAT4	STAT3
EP300	TNFSF11
SMAD1	TNFSF11
SMAD4	TNFSF11
STAT1	TNFSF11
STAT3	TNFSF11
STAT4	TNFSF11
