from	to
AR	EGFR
AR	ERBB2
AR	ESR1
AR	JUN
AR	NFKB1
AR	PIK3R1
AR	STAT3
EGFR	AR
EGFR	ERBB2
EGFR	ESR1
EGFR	JUN
EGFR	NFKB1
EGFR	PIK3R1
EGFR	SRC
EGFR	STAT3
ERBB2	AR
ERBB2	EGFR
ERBB2	ESR1
ERBB2	JUN
ERBB2	MAPK8
ERBB2	NFKB1
ERBB2	PIK3R1
ERBB2	SRC
ERBB2	STAT3
ESR1	AR
ESR1	EGFR
ESR1	JUN
ESR1	NFKB1
ESR1	PIK3R1
ESR1	SRC
ESR1	STAT3
JUN	AR
JUN	ESR1
JUN	PIK3R1
JUN	STAT3
MAPK8	AR
MAPK8	EGFR
MAPK8	ESR1
MAPK8	JUN
MAPK8	PIK3R1
MAPK8	SRC
MAPK8	STAT3
NFKB1	AR
NFKB1	EGFR
NFKB1	JUN
NFKB1	MAPK8
NFKB1	STAT3
NRG1	AR
NRG1	EGFR
NRG1	ERBB2
NRG1	ESR1
NRG1	JUN
NRG1	MAPK8
NRG1	NFKB1
NRG1	PIK3R1
NRG1	SRC
NRG1	STAT3
PIK3R1	EGFR
PIK3R1	ERBB2
PIK3R1	ESR1
PIK3R1	JUN
PIK3R1	MAPK8
PIK3R1	NFKB1
PIK3R1	SRC
PIK3R1	STAT3
SRC	AR
SRC	EGFR
SRC	ERBB2
SRC	ESR1
SRC	JUN
SRC	MAPK8
SRC	NFKB1
SRC	PIK3R1
SRC	STAT3
STAT3	AR
STAT3	EGFR
STAT3	ESR1
STAT3	JUN
STAT3	MAPK8
STAT3	NFKB1
STAT3	SRC
AR	AREG
ERBB2	AREG
ESR1	AREG
JUN	AREG
NFKB1	AREG
STAT3	AREG
