from	to
EGFR	ESR1
EGFR	JUN
EGFR	MYC
EGFR	SRC
EGFR	STAT5A
EGFR	STAT5B
ESR1	EGFR
ESR1	JUN
ESR1	MYC
ESR1	SRC
ESR1	TP53
JUN	ESR1
JUN	MYC
JUN	STAT5A
JUN	TP53
MAPK8	EGFR
MAPK8	ESR1
MAPK8	JUN
MAPK8	MYC
MAPK8	SRC
MAPK8	STAT5A
MAPK8	STAT5B
MAPK8	TP53
MYC	EGFR
MYC	STAT5B
MYC	TP53
NRG1	EGFR
NRG1	ESR1
NRG1	JUN
NRG1	MAPK8
NRG1	MYC
NRG1	SRC
NRG1	STAT5A
NRG1	STAT5B
SRC	EGFR
SRC	ESR1
SRC	JUN
SRC	MAPK8
SRC	MYC
SRC	STAT5A
SRC	STAT5B
SRC	TP53
STAT5A	ESR1
STAT5A	JUN
STAT5A	MYC
STAT5A	STAT5B
STAT5B	MYC
STAT5B	STAT5A
TP53	EGFR
TP53	ESR1
TP53	JUN
TP53	MAPK8
ESR1	BDNF
JUN	BDNF
MYC	BDNF
STAT5A	BDNF
STAT5B	BDNF
TP53	BDNF
