from	to
EGFR	ERBB2
EGFR	ESR1
EGFR	JUN
EGFR	MYC
EGFR	SRC
EGFR	STAT3
ERBB2	EGFR
ERBB2	ESR1
ERBB2	JUN
ERBB2	MAPK8
ERBB2	SRC
ERBB2	STAT3
ERBB2	TP53
ESR1	EGFR
ESR1	JUN
ESR1	MYC
ESR1	SRC
ESR1	STAT3
ESR1	TP53
JUN	ESR1
JUN	MYC
JUN	STAT3
JUN	TP53
MAPK8	EGFR
MAPK8	ESR1
MAPK8	JUN
MAPK8	MYC
MAPK8	SRC
MAPK8	STAT3
MAPK8	TP53
MYC	EGFR
MYC	ERBB2
MYC	TP53
NRG1	EGFR
NRG1	ERBB2
NRG1	ESR1
NRG1	JUN
NRG1	MAPK8
NRG1	MYC
NRG1	SRC
NRG1	STAT3
SRC	EGFR
SRC	ERBB2
SRC	ESR1
SRC	JUN
SRC	MAPK8
SRC	MYC
SRC	STAT3
SRC	TP53
STAT3	EGFR
STAT3	ESR1
STAT3	JUN
STAT3	MAPK8
STAT3	MYC
STAT3	SRC
TP53	EGFR
TP53	ERBB2
TP53	ESR1
TP53	JUN
TP53	MAPK8
ERBB2	BMP4
ESR1	BMP4
JUN	BMP4
MYC	BMP4
STAT3	BMP4
TP53	BMP4
