from	to
AKT1	EGFR
AKT1	EP300
AKT1	HIF1A
AKT1	HNF4A
AKT1	PTEN
AKT1	SRC
AKT1	STAT3
EGFR	AKT1
EGFR	ERBB3
EGFR	HIF1A
EGFR	KRAS
EGFR	PTEN
EGFR	SRC
EGFR	STAT3
EP300	AKT1
EP300	HIF1A
EP300	PTEN
EP300	SRC
EP300	STAT3
ERBB3	AKT1
ERBB3	EGFR
ERBB3	HNF4A
ERBB3	KRAS
ERBB3	PTEN
ERBB3	SRC
ERBB3	STAT3
HIF1A	EGFR
HIF1A	EP300
HIF1A	HNF4A
HIF1A	SRC
HNF4A	AKT1
HNF4A	EP300
HNF4A	ERBB3
HNF4A	HIF1A
KRAS	AKT1
KRAS	EGFR
KRAS	EP300
KRAS	PTEN
KRAS	SRC
NRG1	AKT1
NRG1	EGFR
NRG1	ERBB3
NRG1	KRAS
NRG1	PTEN
NRG1	SRC
NRG1	STAT3
PTEN	AKT1
PTEN	EGFR
PTEN	EP300
PTEN	HIF1A
PTEN	SRC
PTEN	STAT3
SRC	AKT1
SRC	EGFR
SRC	EP300
SRC	ERBB3
SRC	HIF1A
SRC	HNF4A
SRC	KRAS
SRC	PTEN
SRC	STAT3
STAT3	AKT1
STAT3	EGFR
STAT3	EP300
STAT3	ERBB3
STAT3	HIF1A
STAT3	PTEN
STAT3	SRC
EP300	CCL16
HIF1A	CCL16
HNF4A	CCL16
KRAS	CCL16
NRG1	CCL16
PTEN	CCL16
