from	to
AKT1	AR
AKT1	CREB1
AKT1	EGFR
AKT1	JUN
AKT1	MAPK8
AKT1	PTEN
AKT1	SRC
AKT1	TP53
AR	CREB1
AR	EGFR
AR	ERBB3
AR	JUN
AR	TP53
CREB1	TP53
EGFR	AKT1
EGFR	AR
EGFR	ERBB3
EGFR	JUN
EGFR	KRAS
EGFR	PTEN
EGFR	SRC
ERBB3	AKT1
ERBB3	EGFR
ERBB3	KRAS
ERBB3	MAPK8
ERBB3	PTEN
ERBB3	SRC
JUN	AR
JUN	CREB1
JUN	PTEN
JUN	TP53
KRAS	AKT1
KRAS	EGFR
KRAS	PTEN
KRAS	SRC
KRAS	TP53
MAPK8	AKT1
MAPK8	AR
MAPK8	CREB1
MAPK8	EGFR
MAPK8	JUN
MAPK8	PTEN
MAPK8	SRC
MAPK8	TP53
NRG1	AKT1
NRG1	AR
NRG1	EGFR
NRG1	ERBB3
NRG1	JUN
NRG1	KRAS
NRG1	MAPK8
NRG1	PTEN
NRG1	SRC
PTEN	AKT1
PTEN	AR
PTEN	CREB1
PTEN	EGFR
PTEN	SRC
PTEN	TP53
SRC	AKT1
SRC	AR
SRC	EGFR
SRC	ERBB3
SRC	JUN
SRC	KRAS
SRC	MAPK8
SRC	PTEN
SRC	TP53
TP53	AKT1
TP53	AR
TP53	EGFR
TP53	JUN
TP53	MAPK8
TP53	PTEN
AR	IFNA8
CREB1	IFNA8
JUN	IFNA8
KRAS	IFNA8
PTEN	IFNA8
TP53	IFNA8
