from	to
AKT1	EGFR
AKT1	JUN
AKT1	MAPK8
AKT1	NFKB1
AKT1	PIK3R1
AKT1	PTEN
AKT1	RELA
AKT1	SRC
AKT1	TP53
EGFR	AKT1
EGFR	JUN
EGFR	NFKB1
EGFR	PIK3CA
EGFR	PIK3R1
EGFR	PTEN
EGFR	RELA
EGFR	SRC
JUN	PIK3R1
JUN	PTEN
JUN	TP53
MAPK8	AKT1
MAPK8	EGFR
MAPK8	JUN
MAPK8	PIK3R1
MAPK8	PTEN
MAPK8	RELA
MAPK8	SRC
MAPK8	TP53
NFKB1	AKT1
NFKB1	EGFR
NFKB1	JUN
NFKB1	MAPK8
NFKB1	PTEN
NFKB1	RELA
NFKB1	TP53
NRG1	AKT1
NRG1	EGFR
NRG1	JUN
NRG1	MAPK8
NRG1	NFKB1
NRG1	PIK3CA
NRG1	PIK3R1
NRG1	PTEN
NRG1	SRC
PIK3CA	AKT1
PIK3CA	EGFR
PIK3CA	MAPK8
PIK3CA	NFKB1
PIK3CA	PIK3R1
PIK3CA	PTEN
PIK3CA	RELA
PIK3CA	SRC
PIK3R1	AKT1
PIK3R1	EGFR
PIK3R1	JUN
PIK3R1	MAPK8
PIK3R1	NFKB1
PIK3R1	PIK3CA
PIK3R1	PTEN
PIK3R1	RELA
PIK3R1	SRC
PIK3R1	TP53
PTEN	AKT1
PTEN	EGFR
PTEN	NFKB1
PTEN	PIK3CA
PTEN	PIK3R1
PTEN	SRC
PTEN	TP53
RELA	JUN
RELA	NFKB1
RELA	PTEN
RELA	TP53
SRC	AKT1
SRC	EGFR
SRC	JUN
SRC	MAPK8
SRC	NFKB1
SRC	PIK3CA
SRC	PIK3R1
SRC	PTEN
SRC	RELA
SRC	TP53
TP53	AKT1
TP53	EGFR
TP53	JUN
TP53	MAPK8
TP53	NFKB1
TP53	PIK3CA
TP53	PIK3R1
TP53	PTEN
TP53	RELA
AKT1	IL12B
JUN	IL12B
NFKB1	IL12B
PTEN	IL12B
RELA	IL12B
TP53	IL12B
