from	to
AKT1	AR
AKT1	CREB1
AKT1	EGFR
AKT1	FOS
AKT1	JUN
AKT1	MAPK8
AKT1	STAT3
AR	CREB1
AR	CUX1
AR	EGFR
AR	JUN
AR	PIK3CA
AR	STAT3
CREB1	CUX1
CREB1	FOS
CREB1	STAT3
CUX1	AKT1
CUX1	AR
CUX1	CREB1
CUX1	JUN
CUX1	STAT3
EGFR	AKT1
EGFR	AR
EGFR	CUX1
EGFR	FOS
EGFR	JUN
EGFR	PIK3CA
EGFR	STAT3
FOS	EGFR
FOS	JUN
FOS	STAT3
JUN	AR
JUN	CREB1
JUN	CUX1
JUN	FOS
JUN	STAT3
MAPK8	AKT1
MAPK8	AR
MAPK8	CREB1
MAPK8	EGFR
MAPK8	FOS
MAPK8	JUN
MAPK8	STAT3
NRG1	AKT1
NRG1	AR
NRG1	CUX1
NRG1	EGFR
NRG1	JUN
NRG1	MAPK8
NRG1	PIK3CA
NRG1	STAT3
PIK3CA	AKT1
PIK3CA	AR
PIK3CA	CREB1
PIK3CA	CUX1
PIK3CA	EGFR
PIK3CA	MAPK8
PIK3CA	STAT3
STAT3	AKT1
STAT3	AR
STAT3	CREB1
STAT3	CUX1
STAT3	EGFR
STAT3	FOS
STAT3	JUN
STAT3	MAPK8
AR	NGF
CREB1	NGF
CUX1	NGF
FOS	NGF
JUN	NGF
STAT3	NGF
