from	to
EGFR	ESR1
EGFR	JUN
EGFR	MYC
EGFR	SRC
EGFR	STAT3
EGFR	STAT5B
ESR1	EGFR
ESR1	JUN
ESR1	MYC
ESR1	SRC
ESR1	STAT3
JUN	ESR1
JUN	MYC
JUN	STAT3
MAPK8	EGFR
MAPK8	ESR1
MAPK8	JUN
MAPK8	MYC
MAPK8	SRC
MAPK8	STAT3
MAPK8	STAT5B
MYC	EGFR
MYC	STAT5B
NRG1	EGFR
NRG1	ESR1
NRG1	JUN
NRG1	MAPK8
NRG1	MYC
NRG1	SRC
NRG1	STAT3
NRG1	STAT5B
SRC	EGFR
SRC	ESR1
SRC	JUN
SRC	MAPK8
SRC	MYC
SRC	STAT3
SRC	STAT5B
STAT3	EGFR
STAT3	ESR1
STAT3	JUN
STAT3	MAPK8
STAT3	MYC
STAT3	SRC
STAT3	STAT5B
STAT5B	MYC
ESR1	TNFSF11
JUN	TNFSF11
MYC	TNFSF11
NRG1	TNFSF11
STAT3	TNFSF11
STAT5B	TNFSF11
