from	to
EGFR	ESR1
EGFR	ESR2
EGFR	JUN
EGFR	MAPK1
EGFR	NFKB1
EGFR	SRC
EGFR	STAT3
ESR1	EGFR
ESR1	ESR2
ESR1	JUN
ESR1	MAPK1
ESR1	NFKB1
ESR1	SRC
ESR1	STAT3
ESR2	EGFR
ESR2	ESR1
ESR2	JUN
ESR2	MAPK1
ESR2	NFKB1
ESR2	SRC
ESR2	STAT3
IKBKB	EGFR
IKBKB	ESR1
IKBKB	JUN
IKBKB	NFKB1
IKBKB	SRC
IKBKB	STAT3
JUN	ESR1
JUN	ESR2
JUN	IKBKB
JUN	MAPK1
JUN	STAT3
MAPK1	EGFR
MAPK1	ESR1
MAPK1	ESR2
MAPK1	JUN
MAPK1	NFKB1
MAPK1	STAT3
NFKB1	EGFR
NFKB1	ESR2
NFKB1	IKBKB
NFKB1	JUN
NFKB1	MAPK1
NFKB1	STAT3
SRC	EGFR
SRC	ESR1
SRC	ESR2
SRC	IKBKB
SRC	JUN
SRC	MAPK1
SRC	NFKB1
SRC	STAT3
STAT3	EGFR
STAT3	ESR1
STAT3	ESR2
STAT3	JUN
STAT3	MAPK1
STAT3	NFKB1
STAT3	SRC
TGFA	EGFR
TGFA	ESR1
TGFA	JUN
TGFA	MAPK1
TGFA	NFKB1
TGFA	SRC
TGFA	STAT3
ESR1	BMP2
ESR2	BMP2
JUN	BMP2
NFKB1	BMP2
STAT3	BMP2
TGFA	BMP2
