from	to
CTNNB1	EGFR
CTNNB1	IKBKB
CTNNB1	JUN
CTNNB1	MAPK1
CTNNB1	MYC
CTNNB1	NFKB1
CTNNB1	RELA
CTNNB1	SRC
CTNNB1	TP53
EGFR	CTNNB1
EGFR	JUN
EGFR	MAPK1
EGFR	MYC
EGFR	NFKB1
EGFR	PTEN
EGFR	PTK2
EGFR	RELA
EGFR	SRC
IKBKB	CTNNB1
IKBKB	EGFR
IKBKB	JUN
IKBKB	MYC
IKBKB	NFKB1
IKBKB	RELA
IKBKB	SRC
IKBKB	TP53
JUN	IKBKB
JUN	MAPK1
JUN	MYC
JUN	PTEN
JUN	TP53
MAPK1	CTNNB1
MAPK1	EGFR
MAPK1	JUN
MAPK1	MYC
MAPK1	NFKB1
MAPK1	PTEN
MAPK1	PTK2
MAPK1	RELA
MAPK1	TP53
MYC	EGFR
MYC	NFKB1
MYC	PTEN
MYC	PTK2
MYC	RELA
MYC	TP53
NFKB1	EGFR
NFKB1	IKBKB
NFKB1	JUN
NFKB1	MAPK1
NFKB1	MYC
NFKB1	PTEN
NFKB1	RELA
NFKB1	TP53
PTEN	CTNNB1
PTEN	EGFR
PTEN	MAPK1
PTEN	MYC
PTEN	NFKB1
PTEN	PTK2
PTEN	SRC
PTEN	TP53
PTK2	CTNNB1
PTK2	EGFR
PTK2	JUN
PTK2	MAPK1
PTK2	PTEN
PTK2	SRC
PTK2	TP53
RELA	CTNNB1
RELA	JUN
RELA	MAPK1
RELA	MYC
RELA	NFKB1
RELA	PTEN
RELA	PTK2
RELA	TP53
SRC	CTNNB1
SRC	EGFR
SRC	IKBKB
SRC	JUN
SRC	MAPK1
SRC	MYC
SRC	NFKB1
SRC	PTEN
SRC	PTK2
SRC	RELA
SRC	TP53
TGFA	EGFR
TGFA	JUN
TGFA	MAPK1
TGFA	NFKB1
TGFA	PTEN
TGFA	PTK2
TGFA	SRC
TP53	CTNNB1
TP53	EGFR
TP53	JUN
TP53	MAPK1
TP53	NFKB1
TP53	PTEN
TP53	PTK2
TP53	RELA
JUN	CCL20
MYC	CCL20
NFKB1	CCL20
PTEN	CCL20
RELA	CCL20
TP53	CCL20
