from	to
CTNNB1	EGFR
CTNNB1	HIF1A
CTNNB1	IKBKB
CTNNB1	RELA
CTNNB1	SRC
CTNNB1	STAT3
CTNNB1	TP53
EGFR	CTNNB1
EGFR	ESR1
EGFR	HIF1A
EGFR	PTK2
EGFR	RELA
EGFR	SRC
EGFR	STAT3
ESR1	CTNNB1
ESR1	EGFR
ESR1	HIF1A
ESR1	PTK2
ESR1	RELA
ESR1	SRC
ESR1	STAT3
ESR1	TP53
HIF1A	CTNNB1
HIF1A	EGFR
HIF1A	IKBKB
HIF1A	PTK2
HIF1A	RELA
HIF1A	SRC
HIF1A	TP53
IKBKB	CTNNB1
IKBKB	EGFR
IKBKB	ESR1
IKBKB	HIF1A
IKBKB	RELA
IKBKB	SRC
IKBKB	STAT3
IKBKB	TP53
PTK2	CTNNB1
PTK2	EGFR
PTK2	SRC
PTK2	STAT3
PTK2	TP53
RELA	CTNNB1
RELA	PTK2
RELA	TP53
SRC	CTNNB1
SRC	EGFR
SRC	ESR1
SRC	HIF1A
SRC	IKBKB
SRC	PTK2
SRC	RELA
SRC	STAT3
SRC	TP53
STAT3	CTNNB1
STAT3	EGFR
STAT3	ESR1
STAT3	HIF1A
STAT3	PTK2
STAT3	RELA
STAT3	SRC
TGFA	EGFR
TGFA	ESR1
TGFA	PTK2
TGFA	SRC
TGFA	STAT3
TP53	CTNNB1
TP53	EGFR
TP53	ESR1
TP53	HIF1A
TP53	PTK2
TP53	RELA
CTNNB1	CMTM7
ESR1	CMTM7
HIF1A	CMTM7
RELA	CMTM7
STAT3	CMTM7
TP53	CMTM7
