from	to
EGFR	ERBB2
EGFR	FOS
EGFR	JUN
EGFR	MAPK1
EGFR	NFKB1
EGFR	PTK2
EGFR	RELA
EGFR	SRC
ERBB2	EGFR
ERBB2	FOS
ERBB2	JUN
ERBB2	MAPK1
ERBB2	NFKB1
ERBB2	PTK2
ERBB2	RELA
ERBB2	SRC
ERBB2	TP53
FOS	EGFR
FOS	JUN
FOS	NFKB1
FOS	TP53
IKBKB	EGFR
IKBKB	FOS
IKBKB	JUN
IKBKB	NFKB1
IKBKB	RELA
IKBKB	SRC
IKBKB	TP53
JUN	FOS
JUN	IKBKB
JUN	MAPK1
JUN	TP53
MAPK1	EGFR
MAPK1	ERBB2
MAPK1	FOS
MAPK1	JUN
MAPK1	NFKB1
MAPK1	PTK2
MAPK1	RELA
MAPK1	TP53
NFKB1	EGFR
NFKB1	FOS
NFKB1	IKBKB
NFKB1	JUN
NFKB1	MAPK1
NFKB1	RELA
NFKB1	TP53
PTK2	EGFR
PTK2	ERBB2
PTK2	JUN
PTK2	MAPK1
PTK2	SRC
PTK2	TP53
RELA	FOS
RELA	JUN
RELA	MAPK1
RELA	NFKB1
RELA	PTK2
RELA	TP53
SRC	EGFR
SRC	ERBB2
SRC	FOS
SRC	IKBKB
SRC	JUN
SRC	MAPK1
SRC	NFKB1
SRC	PTK2
SRC	RELA
SRC	TP53
TGFA	EGFR
TGFA	ERBB2
TGFA	FOS
TGFA	JUN
TGFA	MAPK1
TGFA	NFKB1
TGFA	PTK2
TGFA	SRC
TP53	EGFR
TP53	ERBB2
TP53	JUN
TP53	MAPK1
TP53	NFKB1
TP53	PTK2
TP53	RELA
ERBB2	EBI3
FOS	EBI3
JUN	EBI3
NFKB1	EBI3
RELA	EBI3
TP53	EBI3
