from	to
EGFR	ESR1
EGFR	HIF1A
EGFR	PTEN
EGFR	PTK2
EGFR	SRC
EGFR	STAT3
EGFR	STAT5B
EGFR	TBP
ESR1	EGFR
ESR1	HIF1A
ESR1	PTEN
ESR1	PTK2
ESR1	SRC
ESR1	STAT3
ESR1	TBP
ESR1	TP53
HIF1A	EGFR
HIF1A	PTK2
HIF1A	SRC
HIF1A	TP53
PTEN	EGFR
PTEN	HIF1A
PTEN	PTK2
PTEN	SRC
PTEN	STAT3
PTEN	TP53
PTK2	EGFR
PTK2	PTEN
PTK2	SRC
PTK2	STAT3
PTK2	STAT5B
PTK2	TP53
SRC	EGFR
SRC	ESR1
SRC	HIF1A
SRC	PTEN
SRC	PTK2
SRC	STAT3
SRC	STAT5B
SRC	TP53
STAT3	EGFR
STAT3	ESR1
STAT3	HIF1A
STAT3	PTEN
STAT3	PTK2
STAT3	SRC
STAT3	STAT5B
STAT3	TBP
TBP	EGFR
TBP	STAT3
TBP	TP53
TGFA	EGFR
TGFA	ESR1
TGFA	PTEN
TGFA	PTK2
TGFA	SRC
TGFA	STAT3
TGFA	STAT5B
TGFA	TBP
TP53	EGFR
TP53	ESR1
TP53	HIF1A
TP53	PTEN
TP53	PTK2
TP53	TBP
HIF1A	IFNA14
PTEN	IFNA14
STAT3	IFNA14
STAT5B	IFNA14
TBP	IFNA14
TP53	IFNA14
