from	to
CTNNB1	EGFR
CTNNB1	HNF4A
CTNNB1	IRF3
CTNNB1	MYC
CTNNB1	SRC
CTNNB1	STAT3
CTNNB1	TCF4
EGFR	CTNNB1
EGFR	ERBB2
EGFR	MYC
EGFR	SRC
EGFR	STAT3
EGFR	TLR3
ERBB2	CTNNB1
ERBB2	EGFR
ERBB2	SRC
ERBB2	STAT3
HNF4A	CTNNB1
HNF4A	MYC
HNF4A	TCF4
IRF3	CTNNB1
IRF3	MYC
MYC	EGFR
MYC	ERBB2
MYC	HNF4A
MYC	IRF3
SRC	CTNNB1
SRC	EGFR
SRC	ERBB2
SRC	HNF4A
SRC	MYC
SRC	STAT3
SRC	TLR3
STAT3	CTNNB1
STAT3	EGFR
STAT3	MYC
STAT3	SRC
TCF4	HNF4A
TCF4	MYC
TGFA	EGFR
TGFA	ERBB2
TGFA	SRC
TGFA	STAT3
TLR3	IRF3
ERBB2	IFNL1
HNF4A	IFNL1
IRF3	IFNL1
MYC	IFNL1
STAT3	IFNL1
TCF4	IFNL1
