from	to
EGFR	ESR1
EGFR	JUN
EGFR	MAPK1
EGFR	PTEN
EGFR	PTK2
EGFR	SRC
EGFR	STAT3
ESR1	EGFR
ESR1	JUN
ESR1	MAPK1
ESR1	PTEN
ESR1	PTK2
ESR1	SRC
ESR1	STAT3
ESR1	TP53
JUN	ESR1
JUN	MAPK1
JUN	PTEN
JUN	STAT3
JUN	TP53
MAPK1	EGFR
MAPK1	ESR1
MAPK1	JUN
MAPK1	PTEN
MAPK1	PTK2
MAPK1	STAT3
MAPK1	TP53
PTEN	EGFR
PTEN	MAPK1
PTEN	PTK2
PTEN	SRC
PTEN	STAT3
PTEN	TP53
PTK2	EGFR
PTK2	JUN
PTK2	MAPK1
PTK2	PTEN
PTK2	SRC
PTK2	STAT3
PTK2	TP53
SRC	EGFR
SRC	ESR1
SRC	JUN
SRC	MAPK1
SRC	PTEN
SRC	PTK2
SRC	STAT3
SRC	TP53
STAT3	EGFR
STAT3	ESR1
STAT3	JUN
STAT3	MAPK1
STAT3	PTEN
STAT3	PTK2
STAT3	SRC
TGFA	EGFR
TGFA	ESR1
TGFA	JUN
TGFA	MAPK1
TGFA	PTEN
TGFA	PTK2
TGFA	SRC
TGFA	STAT3
TP53	EGFR
TP53	ESR1
TP53	JUN
TP53	MAPK1
TP53	PTEN
TP53	PTK2
ESR1	KITLG
JUN	KITLG
PTEN	KITLG
STAT3	KITLG
TGFA	KITLG
TP53	KITLG
