from	to
AR	CTNNB1
AR	ESR1
AR	NFKB1
AR	SMAD3
AR	STAT3
CDK2	AR
CDK2	CTNNB1
CDK2	E2F1
CDK2	ESR1
CDK2	GSK3B
CDK2	NFKB1
CDK2	SMAD3
CDK2	STAT3
CTNNB1	AR
CTNNB1	GSK3B
CTNNB1	NFKB1
CTNNB1	SMAD3
CTNNB1	STAT3
E2F1	AR
E2F1	CTNNB1
E2F1	NFKB1
E2F1	SMAD3
E2F1	STAT3
ESR1	AR
ESR1	CDK2
ESR1	CTNNB1
ESR1	E2F1
ESR1	GSK3B
ESR1	NFKB1
ESR1	SMAD3
ESR1	STAT3
GSK3B	AR
GSK3B	CDK2
GSK3B	CTNNB1
GSK3B	E2F1
GSK3B	ESR1
GSK3B	NFKB1
GSK3B	SMAD3
GSK3B	STAT3
NFKB1	AR
NFKB1	CDK2
NFKB1	E2F1
NFKB1	SMAD3
NFKB1	STAT3
SMAD3	AR
SMAD3	CDK2
SMAD3	ESR1
SMAD3	NFKB1
SMAD3	STAT3
STAT3	AR
STAT3	CTNNB1
STAT3	E2F1
STAT3	ESR1
STAT3	NFKB1
STAT3	SMAD3
TGFB1	AR
TGFB1	CDK2
TGFB1	CTNNB1
TGFB1	E2F1
TGFB1	ESR1
TGFB1	GSK3B
TGFB1	NFKB1
TGFB1	SMAD3
TGFB1	STAT3
AR	CKLF
CTNNB1	CKLF
E2F1	CKLF
ESR1	CKLF
NFKB1	CKLF
STAT3	CKLF
