from	to
CTNNB1	EGR1
CTNNB1	EP300
CTNNB1	LEF1
CTNNB1	STAT1
CTNNB1	STAT3
EGR1	CTNNB1
EGR1	EP300
EGR1	LEF1
EGR1	STAT1
EP300	CTNNB1
EP300	EGR1
EP300	LEF1
EP300	STAT3
EP300	TGFBR1
LEF1	CTNNB1
LEF1	EGR1
LEF1	EP300
STAT1	CTNNB1
STAT1	EGR1
STAT1	EP300
STAT1	STAT3
STAT3	CTNNB1
STAT3	EGR1
STAT3	EP300
STAT3	STAT1
TGFB1	CTNNB1
TGFB1	EGR1
TGFB1	EP300
TGFB1	LEF1
TGFB1	STAT1
TGFB1	STAT3
TGFB1	TGFBR1
TGFBR1	CTNNB1
TGFBR1	EP300
TGFBR1	STAT1
TGFBR1	STAT3
CTNNB1	CMTM1
EGR1	CMTM1
EP300	CMTM1
LEF1	CMTM1
STAT1	CMTM1
STAT3	CMTM1
