from	to
GSK3B	HNF4A
GSK3B	JUN
GSK3B	MYC
GSK3B	NFKB1
GSK3B	SMAD3
GSK3B	STAT1
GSK3B	TP53
HNF4A	GSK3B
HNF4A	JUN
HNF4A	MYC
HNF4A	SMAD3
HNF4A	STAT1
HNF4A	TP53
JUN	HNF4A
JUN	MYC
JUN	SMAD3
JUN	TP53
MYC	GSK3B
MYC	HNF4A
MYC	NFKB1
MYC	SMAD3
MYC	TP53
NFKB1	JUN
NFKB1	MYC
NFKB1	SMAD3
NFKB1	STAT1
NFKB1	TP53
SMAD3	HNF4A
SMAD3	JUN
SMAD3	MYC
SMAD3	NFKB1
SMAD3	TGFBR1
SMAD3	TP53
STAT1	HNF4A
STAT1	JUN
STAT1	MYC
TGFB1	GSK3B
TGFB1	HNF4A
TGFB1	JUN
TGFB1	MYC
TGFB1	NFKB1
TGFB1	SMAD3
TGFB1	STAT1
TGFB1	TGFBR1
TGFB1	TP53
TGFBR1	SMAD3
TGFBR1	STAT1
TP53	HNF4A
TP53	JUN
TP53	NFKB1
TP53	SMAD3
TP53	STAT1
HNF4A	GDNF
JUN	GDNF
MYC	GDNF
NFKB1	GDNF
STAT1	GDNF
TP53	GDNF
