from	to
EP300	HIF1A
EP300	JUN
EP300	RUNX1
EP300	SMAD3
EP300	SP1
EP300	TP53
HIF1A	EP300
HIF1A	JUN
HIF1A	RUNX1
HIF1A	SMAD3
HIF1A	SP1
HIF1A	TP53
JUN	EP300
JUN	HIF1A
JUN	RUNX1
JUN	SMAD3
JUN	SP1
JUN	TP53
RUNX1	HIF1A
RUNX1	SMAD3
RUNX1	SP1
RUNX1	TP53
SMAD3	EP300
SMAD3	HIF1A
SMAD3	JUN
SMAD3	RUNX1
SMAD3	SP1
SMAD3	TP53
SP1	EP300
SP1	HIF1A
SP1	JUN
SP1	RUNX1
SP1	SMAD3
SP1	TP53
TGFB1	EP300
TGFB1	JUN
TGFB1	RUNX1
TGFB1	SMAD3
TGFB1	SP1
TGFB1	TP53
TP53	EP300
TP53	HIF1A
TP53	JUN
TP53	RUNX1
TP53	SMAD3
TP53	SP1
HIF1A	HBEGF
JUN	HBEGF
RUNX1	HBEGF
SMAD3	HBEGF
SP1	HBEGF
TGFB1	HBEGF
