from	to
EP300	HIF1A
EP300	JUN
EP300	MYC
EP300	RUNX1
EP300	SMAD4
EP300	TP53
GSK3B	EP300
GSK3B	HIF1A
GSK3B	JUN
GSK3B	MYC
GSK3B	RUNX1
GSK3B	SMAD4
GSK3B	TP53
HIF1A	EP300
HIF1A	JUN
HIF1A	MYC
HIF1A	RUNX1
HIF1A	SMAD4
HIF1A	TP53
JUN	EP300
JUN	HIF1A
JUN	MYC
JUN	RUNX1
JUN	SMAD4
JUN	TP53
MYC	EP300
MYC	GSK3B
MYC	RUNX1
MYC	TP53
RUNX1	HIF1A
RUNX1	MYC
RUNX1	SMAD4
RUNX1	TP53
SMAD4	EP300
SMAD4	HIF1A
SMAD4	JUN
SMAD4	MYC
SMAD4	RUNX1
SMAD4	TP53
TGFB1	EP300
TGFB1	GSK3B
TGFB1	JUN
TGFB1	MYC
TGFB1	RUNX1
TGFB1	SMAD4
TGFB1	TP53
TP53	EP300
TP53	HIF1A
TP53	JUN
TP53	RUNX1
TP53	SMAD4
HIF1A	IL34
JUN	IL34
MYC	IL34
RUNX1	IL34
SMAD4	IL34
TP53	IL34
