from	to
CTNNB1	EP300
CTNNB1	GSK3B
CTNNB1	HNF4A
CTNNB1	JUN
CTNNB1	MYC
CTNNB1	SMAD3
EP300	CTNNB1
EP300	JUN
EP300	MYC
EP300	RUNX1
EP300	SMAD3
GSK3B	CTNNB1
GSK3B	EP300
GSK3B	HNF4A
GSK3B	JUN
GSK3B	MYC
GSK3B	RUNX1
GSK3B	SMAD3
HNF4A	CTNNB1
HNF4A	EP300
HNF4A	GSK3B
HNF4A	JUN
HNF4A	MYC
HNF4A	SMAD3
JUN	EP300
JUN	HNF4A
JUN	MYC
JUN	RUNX1
JUN	SMAD3
MYC	EP300
MYC	GSK3B
MYC	HNF4A
MYC	RUNX1
MYC	SMAD3
RUNX1	CTNNB1
RUNX1	MYC
RUNX1	SMAD3
SMAD3	EP300
SMAD3	HNF4A
SMAD3	JUN
SMAD3	MYC
SMAD3	RUNX1
TGFB1	CTNNB1
TGFB1	EP300
TGFB1	GSK3B
TGFB1	HNF4A
TGFB1	JUN
TGFB1	MYC
TGFB1	RUNX1
TGFB1	SMAD3
CTNNB1	MST1
EP300	MST1
HNF4A	MST1
JUN	MST1
MYC	MST1
RUNX1	MST1
