from	to
AR	JUN
AR	NR3C1
AR	SMAD3
AR	STAT1
AR	STAT3
AR	TGFBR1
AR	TP53
JUN	AR
JUN	NR3C1
JUN	SMAD3
JUN	STAT3
JUN	TP53
NR3C1	AR
NR3C1	JUN
NR3C1	SMAD3
NR3C1	TP53
SMAD3	AR
SMAD3	JUN
SMAD3	NR3C1
SMAD3	STAT3
SMAD3	TGFBR1
SMAD3	TP53
STAT1	JUN
STAT1	STAT3
STAT3	AR
STAT3	JUN
STAT3	NR3C1
STAT3	SMAD3
STAT3	STAT1
TGFB1	AR
TGFB1	JUN
TGFB1	NR3C1
TGFB1	SMAD3
TGFB1	STAT1
TGFB1	STAT3
TGFB1	TGFBR1
TGFB1	TP53
TGFBR1	SMAD3
TGFBR1	STAT1
TGFBR1	STAT3
TP53	AR
TP53	JUN
TP53	NR3C1
TP53	SMAD3
TP53	STAT1
AR	NRG1
JUN	NRG1
NR3C1	NRG1
STAT1	NRG1
STAT3	NRG1
TP53	NRG1
