from	to
EGR1	JUN
EGR1	MYC
EGR1	TP53
GSK3B	EGR1
GSK3B	JUN
GSK3B	MAPK1
GSK3B	MYC
GSK3B	STAT3
GSK3B	STAT5A
GSK3B	TP53
JUN	EGR1
JUN	MAPK1
JUN	MYC
JUN	STAT3
JUN	STAT5A
JUN	TP53
MAPK1	EGR1
MAPK1	GSK3B
MAPK1	JUN
MAPK1	MYC
MAPK1	STAT3
MAPK1	STAT5A
MAPK1	TP53
MYC	EGR1
MYC	GSK3B
MYC	TP53
STAT3	EGR1
STAT3	JUN
STAT3	MAPK1
STAT3	MYC
STAT3	STAT5A
STAT5A	JUN
STAT5A	MAPK1
STAT5A	MYC
STAT5A	STAT3
TGFB1	EGR1
TGFB1	GSK3B
TGFB1	JUN
TGFB1	MAPK1
TGFB1	MYC
TGFB1	STAT3
TGFB1	STAT5A
TGFB1	TP53
TP53	EGR1
TP53	JUN
TP53	MAPK1
EGR1	OSM
JUN	OSM
MYC	OSM
STAT3	OSM
STAT5A	OSM
TP53	OSM
