from	to
AKT1	ESR2
AKT1	GSK3B
AKT1	MAPK3
AKT1	MYC
AKT1	SMAD4
AKT1	TP53
ESR2	AKT1
ESR2	MAPK3
ESR2	SMAD4
ESR2	TP53
ETS2	MYC
ETS2	TP53
GSK3B	AKT1
GSK3B	MYC
GSK3B	SMAD4
GSK3B	TP53
MAPK3	AKT1
MAPK3	ESR2
MAPK3	ETS2
MAPK3	GSK3B
MAPK3	MYC
MAPK3	SMAD4
MAPK3	TP53
MYC	ETS2
MYC	GSK3B
MYC	TP53
SMAD4	MYC
SMAD4	TP53
TGFB1	AKT1
TGFB1	ESR2
TGFB1	ETS2
TGFB1	GSK3B
TGFB1	MAPK3
TGFB1	MYC
TGFB1	SMAD4
TGFB1	TP53
TP53	AKT1
TP53	ETS2
TP53	MAPK3
TP53	SMAD4
ESR2	PDGFD
ETS2	PDGFD
MYC	PDGFD
SMAD4	PDGFD
TGFB1	PDGFD
TP53	PDGFD
