from	to
CTNNB1	GSK3B
CTNNB1	MYC
CTNNB1	NFKB1
CTNNB1	RELA
CTNNB1	STAT3
CTNNB1	TP53
GSK3B	CTNNB1
GSK3B	MYC
GSK3B	NFKB1
GSK3B	RELA
GSK3B	STAT3
GSK3B	TP53
MYC	GSK3B
MYC	NFKB1
MYC	RELA
MYC	TP53
NFKB1	MYC
NFKB1	RELA
NFKB1	STAT3
NFKB1	TP53
RELA	CTNNB1
RELA	MYC
RELA	NFKB1
RELA	TP53
STAT3	CTNNB1
STAT3	MYC
STAT3	NFKB1
STAT3	RELA
TGFB1	CTNNB1
TGFB1	GSK3B
TGFB1	MYC
TGFB1	NFKB1
TGFB1	RELA
TGFB1	STAT3
TGFB1	TP53
TP53	CTNNB1
TP53	NFKB1
TP53	RELA
CTNNB1	TNFSF13
MYC	TNFSF13
NFKB1	TNFSF13
RELA	TNFSF13
STAT3	TNFSF13
TP53	TNFSF13
